stop_id,stop_code,stop_name,stop_lat,stop_lon
3739,3739,NB 45 ST SW @ 13 AV SW,51.042811,-114.152555
3740,3740,NB 45 ST SW @ Rossmere RD,51.046787,-114.152554
3741,3741,Westbrook LRT Station,51.040501,-114.136632
3742,3742,SB 84 ST SE @ 17 AV SE,51.038522,-113.907132
3743,3743,NB 84 ST SE @ 17 AV SE,51.038549,-113.906583
3744,3744,Westbrook LRT Station,51.040263,-114.136251
3745,3745,SB 37 ST SW @ 26 AV SW,51.029655,-114.14128
3746,3746,SB 37 ST SW @ Richmond RD,51.021661,-114.141344
3747,3747,EB 46 AV SW @ 37 ST SW,51.012364,-114.14002
3748,3748,Mount Royal University Terminal,51.014599,-114.133842
3749,3749,WB Mount Royal CI @ MRU East Entrance,51.011153,-114.130271
3750,3750,EB 50 AV SW @ Richard RD (ATCO Entrance),51.008636,-114.124866
3751,3751,SB Crowchild TR @ 54 AV SW,51.00473,-114.118207
3752,3752,EB Glenmore TR @ Crowchild TR SW,50.999515,-114.116449
3753,3753,SB 14 ST SW @ 75 AV SW,50.987102,-114.095059
3754,3754,EB Heritage DR @ Haysboro CR SW,50.979503,-114.092969
3755,3755,EB Heritage DR @ Elbow DR SW,50.979475,-114.082825
3756,3756,Heritage LRT Station,50.978875,-114.075354
3757,3757,WB Heritage DR @ Elbow DR SW,50.979655,-114.083526
3758,3758,WB Heritage DR @ Churchill DR SW,50.979637,-114.093274
3759,3759,NB 14 ST SW @ 75 AV SW,50.987137,-114.094629
3760,3760,NB Crowchild TR @ Glenmore TR SW,51.00096,-114.117771
3761,3761,NB Crowchild TR @ 54 AV SW,51.005283,-114.11766
3762,3762,Mount Royal GA @ Westmount WY SW,51.008785,-114.125783
3763,3763,NB Mount Royal CI @ MRU East Gate,51.01158,-114.129346
3764,3764,Mount Royal University Terminal,51.014048,-114.133799
3765,3765,WB 46 AV SW @ Sarcee RD,51.012582,-114.140121
3766,3766,NB 37 ST SW @ Richmond RD,51.021965,-114.140926
3767,3767,NB 37 ST SW @ 26 AV SW,51.030368,-114.141008
3769,3769,SB 69 ST SW @ 69 Street West LRT Station,51.03718,-114.187767
3770,3770,SB Springborough BV @ Ambrose CI SW,51.033564,-114.192622
3771,3771,SB Springborough BV @ Springborough GR SW,51.032441,-114.193817
3772,3772,WB 26 AV SW @ Springborough BV,51.030594,-114.194071
3773,3773,WB 26 AV SW @ 77 ST SW,51.030649,-114.197477
3774,3774,SB 77 ST SW @ Spring Valley VW,51.028502,-114.199447
3775,3775,SB Springbluff BV @ Spring Valley WY SW,51.023592,-114.1995
3776,3776,SB Springbluff BV @ Springbluff LN SW,51.022253,-114.199182
3777,3777,EB Springbluff BV @ Springbank WY SW,51.020535,-114.194308
3778,3778,EB Springbank GA @ Springbluff BV SW,51.021328,-114.190253
3779,3779,WB Springbluff  BV @ Springbank GA SW,51.021385,-114.190749
3780,3780,WB Springbluff BV @ Springbank WY SW,51.020772,-114.195207
3781,3781,NB Springbluff BV @ Springbluff LN SW,51.022511,-114.199066
3782,3782,NB 77 ST SW @ Spring Valley WY,51.024286,-114.199202
3783,3783,NB 77 ST SW @ Spring Valley VW,51.028802,-114.199215
3784,3784,EB 26 AVE SW @ E. of 77 ST SW,51.03046,-114.19746
3785,3785,NB 69 ST SW @ 69 Street West LRT Station,51.037152,-114.187355
3786,3786,WB Old Banff Coach RD @ Coulee WY SW,51.067166,-114.194057
3787,3787,EB 10 AV SW @ 16 ST SW,51.044236,-114.098975
3788,3788,EB 12 AV SW @ 2 ST SW,51.041493,-114.068727
3789,3789,SB OLYMPIC WY @ 11 AV SE,51.042315,-114.053509
3790,3790,WB 10 AV SW @ 11 ST SW,51.044146,-114.089934
3791,3791,WB 10 AV @14 ST SW,51.044306,-114.095646
3792,3792,Sunalta LRT Station WB,51.044391,-114.099037
3793,3793,Westbrook LRT Station EB,51.040744,-114.136093
3795,3795,Mount Royal University Terminal,51.014743,-114.133965
3796,3796,Mount Royal University Terminal,51.01441,-114.133767
3797,3797,Mount Royal University Terminal EB,51.014102,-114.133093
3798,3798,WB MRU West Gate,51.014526,-114.133343
3800,3800,EB Country Village RD @ Country Village  LI NE,51.160278,-114.066893
3801,3801,EB  Country Village RD@ E.of Country Village LI NE,51.160516,-114.063473
3802,3802,EB  Country Village  RD@ W.of Coventry Hills BV NE,51.162016,-114.058385
